Station,Direction,Time,Predicted Congestion
제기동,0,0:00,14.11254764199257
제기동,0,0:30,8.796747744083405
신설동,1,5:30,8.912764710187913
신설동,1,6:00,20.600160616636277
신설동,1,6:30,9.210353583097458
신설동,1,7:00,20.62118992209435
신설동,1,7:30,8.174793934822084
신설동,1,8:00,20.95724342465401
신설동,1,8:30,7.401058530807496
신설동,1,9:00,13.092983919382096
신설동,1,9:30,8.970024597644807
신설동,1,10:00,12.702482503652574
신설동,1,10:30,6.09355731010437
신설동,1,11:00,12.112802284955979
신설동,1,11:30,6.6409405231475835
신설동,1,12:00,11.182602274417878
신설동,1,12:30,7.662483644485475
신설동,1,13:00,9.314588069915771
신설동,1,13:30,7.782728505134584
신설동,1,14:00,8.41958920955658
신설동,1,14:30,7.469571733474732
신설동,1,15:00,10.178326517343523
